,Project Name,Builder Name,Parent Builder,Status,State,County,City,Zip Code,Master Plan,Product Type,Unit Size Min,Unit Size Max,Sales Office Phone Number,Website,Typical Lot Size,Lot Dimension,Lot Width,Sales Rate,Sales Rate (Last 3 Months),Sales Rate (Last 6 Months),Sales Rate (Last 12 Months),Sold Out Date,Sales Change Date,Open Date,Total Units Planned,Total Units Sold,Total Remaining,Last Price Change Date,MinPrice,MaxPrice,Lat,Long,HOA ($/SF),HOA1,HOA2,Assessments,Assessments Description,Characteristics,County Code,Project Key,Plan Name (1),# of Beds (1),# of Baths (1),# of Floors (1),Garage (1),Square Footage (1),Price (1)
10,Arroyos Desert Princess,Desert Princess Homes LLC,,ACTIVE PROJECT,CA,Riverside,Cathedral City,92234,Desert Princess Country Club,Detached,1860,2101,(760) 464-0592,https://goo.gl/GVBPq0,7000,70x100,70,2.2,-1.3,2,2.7,,8/6/2018,4/24/2015,119,86,33,8/6/2018,369900,389900,33.83989,-116.48441,,608,,1.25%,No Mello Roos,,6065,20274,Plan 1,2,2.5,1,2,1860,369900
11,Arroyos Desert Princess,Desert Princess Homes LLC,,ACTIVE PROJECT,CA,Riverside,Cathedral City,92234,Desert Princess Country Club,Detached,1860,2101,(760) 464-0592,https://goo.gl/GVBPq0,7000,70x100,70,2.2,-1.3,2,2.7,,8/6/2018,4/24/2015,119,86,33,8/6/2018,369900,389900,33.83989,-116.48441,,608,,1.25%,No Mello Roos,,6065,20274,Plan 2,3,2.5,1,2,1951,379900
12,Arroyos Desert Princess,Desert Princess Homes LLC,,ACTIVE PROJECT,CA,Riverside,Cathedral City,92234,Desert Princess Country Club,Detached,1860,2101,(760) 464-0592,https://goo.gl/GVBPq0,7000,70x100,70,2.2,-1.3,2,2.7,,8/6/2018,4/24/2015,119,86,33,8/6/2018,369900,389900,33.83989,-116.48441,,608,,1.25%,No Mello Roos,,6065,20274,Plan 3,3,3.5,1,2,2101,389900
13,Hillcrest,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,San Bernardino,Chino Hills,,,Detached,3452,5342,(714) 524-2900,,18500,,,2,4.7,2.8,2.8,,7/16/2018,9/24/2016,75,44,31,7/16/2018,1204575,1659650,33.955116,-117.78083,,553,,1.10%,1.05 tax rate + .05 Mello Roos ($685) = 1.1 tax rate.,Gated,6071,59654,Residence 1,5,5.5,2,3,3452,1239100
14,Hillcrest,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,San Bernardino,Chino Hills,,,Detached,3452,5342,(714) 524-2900,,18500,,,2,4.7,2.8,2.8,,7/16/2018,9/24/2016,75,44,31,7/16/2018,1204575,1659650,33.955116,-117.78083,,553,,1.10%,1.05 tax rate + .05 Mello Roos ($685) = 1.1 tax rate.,Gated,6071,59654,Residence 2,5,5.5,2,3,3898,1204575
15,Hillcrest,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,San Bernardino,Chino Hills,,,Detached,3452,5342,(714) 524-2900,,18500,,,2,4.7,2.8,2.8,,7/16/2018,9/24/2016,75,44,31,7/16/2018,1204575,1659650,33.955116,-117.78083,,553,,1.10%,1.05 tax rate + .05 Mello Roos ($685) = 1.1 tax rate.,Gated,6071,59654,Residence 3,5,5.5,2,3,4224,1358000
16,Hillcrest,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,San Bernardino,Chino Hills,,,Detached,3452,5342,(714) 524-2900,,18500,,,2,4.7,2.8,2.8,,7/16/2018,9/24/2016,75,44,31,7/16/2018,1204575,1659650,33.955116,-117.78083,,553,,1.10%,1.05 tax rate + .05 Mello Roos ($685) = 1.1 tax rate.,Gated,6071,59654,Residence 4,5,5.5,2,3,4710,1410000
17,Hillcrest,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,San Bernardino,Chino Hills,,,Detached,3452,5342,(714) 524-2900,,18500,,,2,4.7,2.8,2.8,,7/16/2018,9/24/2016,75,44,31,7/16/2018,1204575,1659650,33.955116,-117.78083,,553,,1.10%,1.05 tax rate + .05 Mello Roos ($685) = 1.1 tax rate.,Gated,6071,59654,Residence 5,5,5.5,2,3,5342,1659650
18,Signature at PGA West/Estates,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2528,3479,(760) 296-3473,https://goo.gl/7aHU52,7000,,,0.4,0.3,0.3,0.3,,7/18/2018,11/15/2015,60,13,47,3/4/2018,600000,774900,33.641777,-116.26176,,550,,1.25%,,Temporarily Sold Out,6065,2707,Estates - Residence 1,2,3.5,1,2,2528,739900
19,Signature at PGA West/Estates,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2528,3479,(760) 296-3473,https://goo.gl/7aHU52,7000,,,0.4,0.3,0.3,0.3,,7/18/2018,11/15/2015,60,13,47,3/4/2018,600000,774900,33.641777,-116.26176,,550,,1.25%,,Temporarily Sold Out,6065,2707,Estates - Residence 3,3,3.5,2,2,2921,600000
20,Signature at PGA West/Estates,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2528,3479,(760) 296-3473,https://goo.gl/7aHU52,7000,,,0.4,0.3,0.3,0.3,,7/18/2018,11/15/2015,60,13,47,3/4/2018,600000,774900,33.641777,-116.26176,,550,,1.25%,,Temporarily Sold Out,6065,2707,Estates - Residence 4,4,4.5,2,2,3479,774900
21,Signature at PGA West/Estates,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2528,3479,(760) 296-3473,https://goo.gl/7aHU52,7000,,,0.4,0.3,0.3,0.3,,7/18/2018,11/15/2015,60,13,47,3/4/2018,600000,774900,33.641777,-116.26176,,550,,1.25%,,Temporarily Sold Out,6065,2707,Estates - Residence 2,3,3.5,1,2,2760,600000
22,Monterra - PGA West,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3184,3642,(760) 771-2100 **,https://goo.gl/4xnYxK,9200,,175,1.1,2.3,1.5,1,,7/18/2018,2/20/2016,39,33,6,7/18/2018,715000,1225000,33.649403,-116.23515,,513,,1.25%,No Mello Roos or Special Assess. Fee's.,,6065,59653,Residence 1,3,4.5,2,1,3184,715000
23,Monterra - PGA West,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3184,3642,(760) 771-2100 **,https://goo.gl/4xnYxK,9200,,175,1.1,2.3,1.5,1,,7/18/2018,2/20/2016,39,33,6,7/18/2018,715000,1225000,33.649403,-116.23515,,513,,1.25%,No Mello Roos or Special Assess. Fee's.,,6065,59653,Residence 2,3,4.5,1,2,3220,995000
24,Monterra - PGA West,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3184,3642,(760) 771-2100 **,https://goo.gl/4xnYxK,9200,,175,1.1,2.3,1.5,1,,7/18/2018,2/20/2016,39,33,6,7/18/2018,715000,1225000,33.649403,-116.23515,,513,,1.25%,No Mello Roos or Special Assess. Fee's.,,6065,59653,Residence 3,3,4.5,1,2,3370,1225000
25,Monterra - PGA West,Woodbridge Pacific Group,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3184,3642,(760) 771-2100 **,https://goo.gl/4xnYxK,9200,,175,1.1,2.3,1.5,1,,7/18/2018,2/20/2016,39,33,6,7/18/2018,715000,1225000,33.649403,-116.23515,,513,,1.25%,No Mello Roos or Special Assess. Fee's.,,6065,59653,Residence 4,3,4.5,1,2,3642,750000
26,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Milano Residence 501,2,2.5,1,2,2400,1050000
27,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Milano Residence 502,3,3.5,1,2,2590,1290000
28,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Amalfi Residence 621,4,4.5,1,2,3260,1690000
29,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Amalfi Residence 622,4,4.5,1,2,3724,1750000
30,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Amalfi Residence 623,4,4.5,1,2,4064,1850000
31,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Amalfi Residence 641,4,4.5,1,2,3585,1935000
32,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Amalfi Residence 631,4,4.5,1,2,3682,1960000
33,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Bellagio Residence 721,4,4.5,1,3,4246,2105000
34,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Bellagio Residence 722,4,4.5,1,3,4278,2145000
35,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Bellagio Residence 723,4,4.5,1,3,4587,2245000
36,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Cortona Residence 921,4,4.5,1,3,4930,2785000
37,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Cortona Residence 922,4,4.5,1,4,5414,2970000
38,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Cortona Residence 972,4,4.5,1,4,5414,2970000
39,Toscana Country Club,Sunrise Company,,ACTIVE PROJECT,CA,Riverside,Indian Wells,92210,,Detached,2400,5433,(760) 772-7000 *,https://goo.gl/htRKFF,13500,84x160,84,3,4,3.8,3.1,,7/30/2018,11/1/2004,633,499,134,7/30/2018,1050000,2985000,33.736683,-116.33894,,495,,1.25%,Total tax rate is based on 1.25% of purchase price,,6065,17969,Cortona Residence 923,4,4.5,1,4,5433,2985000
40,Retreat at Desert Willow,Family Development,,ACTIVE PROJECT,CA,Riverside,Palm Desert,92260,,Attached,2019,2598,(760) 422-9345,https://goo.gl/dHTNm6,,,,3.4,0.7,2.2,5.2,,6/11/2018,3/26/2016,112,90,22,6/11/2018,475900,590900,33.769382,-116.37189,,454,,1.23%,,Townhomes,6065,164020,Residence 1,2,2.5,1,2,2019,475900
41,Retreat at Desert Willow,Family Development,,ACTIVE PROJECT,CA,Riverside,Palm Desert,92260,,Attached,2019,2598,(760) 422-9345,https://goo.gl/dHTNm6,,,,3.4,0.7,2.2,5.2,,6/11/2018,3/26/2016,112,90,22,6/11/2018,475900,590900,33.769382,-116.37189,,454,,1.23%,,Townhomes,6065,164020,Residence 2,2,2.5,1,2,2188,505900
42,Retreat at Desert Willow,Family Development,,ACTIVE PROJECT,CA,Riverside,Palm Desert,92260,,Attached,2019,2598,(760) 422-9345,https://goo.gl/dHTNm6,,,,3.4,0.7,2.2,5.2,,6/11/2018,3/26/2016,112,90,22,6/11/2018,475900,590900,33.769382,-116.37189,,454,,1.23%,,Townhomes,6065,164020,Residence 3,2,2.5,1,2,2533,590900
43,Retreat at Desert Willow,Family Development,,ACTIVE PROJECT,CA,Riverside,Palm Desert,92260,,Attached,2019,2598,(760) 422-9345,https://goo.gl/dHTNm6,,,,3.4,0.7,2.2,5.2,,6/11/2018,3/26/2016,112,90,22,6/11/2018,475900,590900,33.769382,-116.37189,,454,,1.23%,,Townhomes,6065,164020,Residence 4,3,3,1,2,2598,590900
44,Signature at PGA West/Villas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Attached,1446,2295,(760) 918-6768,https://goo.gl/ecPSvl,,,,0.4,0.7,0.7,0.4,,7/18/2018,11/1/2015,98,14,84,6/13/2018,339900,419900,33.641777,-116.26176,,450,,1.25%,,Townhomes; Temporarily Sold Out,6065,2706,Villas - Residence 1,2,2,1,2,1446,339900
45,Signature at PGA West/Villas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Attached,1446,2295,(760) 918-6768,https://goo.gl/ecPSvl,,,,0.4,0.7,0.7,0.4,,7/18/2018,11/1/2015,98,14,84,6/13/2018,339900,419900,33.641777,-116.26176,,450,,1.25%,,Townhomes; Temporarily Sold Out,6065,2706,Villas - Residence 2,3,3,2,2,1987,379900
46,Signature at PGA West/Villas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Attached,1446,2295,(760) 918-6768,https://goo.gl/ecPSvl,,,,0.4,0.7,0.7,0.4,,7/18/2018,11/1/2015,98,14,84,6/13/2018,339900,419900,33.641777,-116.26176,,450,,1.25%,,Townhomes; Temporarily Sold Out,6065,2706,Villas - Residence 3,3,3.5,2,2,2038,389900
47,Signature at PGA West/Villas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Attached,1446,2295,(760) 918-6768,https://goo.gl/ecPSvl,,,,0.4,0.7,0.7,0.4,,7/18/2018,11/1/2015,98,14,84,6/13/2018,339900,419900,33.641777,-116.26176,,450,,1.25%,,Townhomes; Temporarily Sold Out,6065,2706,Villas - Residence 4,3,3.5,3,2,2295,419900
48,Signature at PGA West/Haciendas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,1941,2429,(760) 296-3473,https://goo.gl/6SqTXV,6000,,,0.3,0.3,0.3,0.2,,7/18/2018,4/1/2015,70,11,59,3/4/2018,499900,649900,33.641777,-116.26176,,450,,1.25%,,Temporarily Sold Out,6065,2705,Haciendas -Residence 1,2,2.5,1,2,1941,499900
49,Signature at PGA West/Haciendas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,1941,2429,(760) 296-3473,https://goo.gl/6SqTXV,6000,,,0.3,0.3,0.3,0.2,,7/18/2018,4/1/2015,70,11,59,3/4/2018,499900,649900,33.641777,-116.26176,,450,,1.25%,,Temporarily Sold Out,6065,2705,Haciendas -Residence 2,2,2.5,1,2,2042,589900
50,Signature at PGA West/Haciendas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,1941,2429,(760) 296-3473,https://goo.gl/6SqTXV,6000,,,0.3,0.3,0.3,0.2,,7/18/2018,4/1/2015,70,11,59,3/4/2018,499900,649900,33.641777,-116.26176,,450,,1.25%,,Temporarily Sold Out,6065,2705,Haciendas -Residence 3,3,3.5,2,2,2423,649900
51,Signature at PGA West/Haciendas,California West Communities,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,1941,2429,(760) 296-3473,https://goo.gl/6SqTXV,6000,,,0.3,0.3,0.3,0.2,,7/18/2018,4/1/2015,70,11,59,3/4/2018,499900,649900,33.641777,-116.26176,,450,,1.25%,,Temporarily Sold Out,6065,2705,Haciendas -Residence 4,3,3.5,2,2,2429,500000
52,The Cove at The Citrus,Family Development,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2800,4224,(760) 422-9328 *,https://goo.gl/bhkUGN,9472,64'x148',64,0.8,0,1.2,0.8,,7/20/2018,5/14/2016,29,21,8,7/20/2018,643211,725000,33.678741,-116.27164,,446,,1.25%,No Mello Roos or Special Assessment Fee's.,,6065,168976,Santa Barbara-Plan1,3,3.5,1,2,2800,680000
53,The Cove at The Citrus,Family Development,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2800,4224,(760) 422-9328 *,https://goo.gl/bhkUGN,9472,64'x148',64,0.8,0,1.2,0.8,,7/20/2018,5/14/2016,29,21,8,7/20/2018,643211,725000,33.678741,-116.27164,,446,,1.25%,No Mello Roos or Special Assessment Fee's.,,6065,168976,Model B,2,2.5,2,2,3533,680000
54,The Cove at The Citrus,Family Development,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2800,4224,(760) 422-9328 *,https://goo.gl/bhkUGN,9472,64'x148',64,0.8,0,1.2,0.8,,7/20/2018,5/14/2016,29,21,8,7/20/2018,643211,725000,33.678741,-116.27164,,446,,1.25%,No Mello Roos or Special Assessment Fee's.,,6065,168976,Model C,3,3.5,2,2,4224,643211
55,The Cove at The Citrus,Family Development,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,2800,4224,(760) 422-9328 *,https://goo.gl/bhkUGN,9472,64'x148',64,0.8,0,1.2,0.8,,7/20/2018,5/14/2016,29,21,8,7/20/2018,643211,725000,33.678741,-116.27164,,446,,1.25%,No Mello Roos or Special Assessment Fee's.,,6065,168976,Montecito-Plan 2,3,3.5,1,2,2879,725000
56,Groves (The),Fleming Communities,,ACTIVE PROJECT,CA,Riverside,Temecula,92592,,Detached,4096,5287,(760) 822-0831,https://goo.gl/VSLAaW,87120,,,0.7,0.7,0.3,0.3,,7/18/2018,6/1/2014,37,33,4,7/18/2018,1339000,1489000,33.513611,-117.03787,,394,,1.25%,,,6065,19105,Residence One,4,4.5,1,4,4096,1339000
57,Groves (The),Fleming Communities,,ACTIVE PROJECT,CA,Riverside,Temecula,92592,,Detached,4096,5287,(760) 822-0831,https://goo.gl/VSLAaW,87120,,,0.7,0.7,0.3,0.3,,7/18/2018,6/1/2014,37,33,4,7/18/2018,1339000,1489000,33.513611,-117.03787,,394,,1.25%,,,6065,19105,Residence Two,5,4.5,2,6,4680,1389000
58,Groves (The),Fleming Communities,,ACTIVE PROJECT,CA,Riverside,Temecula,92592,,Detached,4096,5287,(760) 822-0831,https://goo.gl/VSLAaW,87120,,,0.7,0.7,0.3,0.3,,7/18/2018,6/1/2014,37,33,4,7/18/2018,1339000,1489000,33.513611,-117.03787,,394,,1.25%,,,6065,19105,Residence Three,6,6.5,2,5,5287,1489000
59,Cortina at Terramor,Del Webb,PulteGroup Inc.,ACTIVE PROJECT,CA,Riverside,Temescal Valley,92883,Terramor,Detached,1999,2172,(866) 337-0439 *,https://goo.gl/6SnXpZ,5500,,,4.1,4.7,3.7,3.3,,7/26/2018,4/30/2017,105,62,43,7/26/2018,481990,496990,33.762428,-117.45899,,340,,1.70%,Tax Rate includes Mello Roos.,,6065,177842,Corvara,2,2,1,2,1999,481990
60,Cortina at Terramor,Del Webb,PulteGroup Inc.,ACTIVE PROJECT,CA,Riverside,Temescal Valley,92883,Terramor,Detached,1999,2172,(866) 337-0439 *,https://goo.gl/6SnXpZ,5500,,,4.1,4.7,3.7,3.3,,7/26/2018,4/30/2017,105,62,43,7/26/2018,481990,496990,33.762428,-117.45899,,340,,1.70%,Tax Rate includes Mello Roos.,,6065,177842,Maggio,2,2,1,2,2056,486990
61,Cortina at Terramor,Del Webb,PulteGroup Inc.,ACTIVE PROJECT,CA,Riverside,Temescal Valley,92883,Terramor,Detached,1999,2172,(866) 337-0439 *,https://goo.gl/6SnXpZ,5500,,,4.1,4.7,3.7,3.3,,7/26/2018,4/30/2017,105,62,43,7/26/2018,481990,496990,33.762428,-117.45899,,340,,1.70%,Tax Rate includes Mello Roos.,,6065,177842,Stella,3,2,1,2,2172,496990
62,Linea Palm Springs,Alta Verde Group,,ACTIVE PROJECT,CA,Riverside,Palm Springs,92264,,Detached,4453,4869,(760) 297-2233,https://goo.gl/KCQXyw,21780,,,0.3,0,-0.2,0.3,,7/18/2018,11/15/2016,14,6,8,7/18/2018,2700000,2790000,33.775867,-116.53339,,340,,1.25%,,,6065,207192,Residence G,4,4.5,1,3,4789,2750000
63,Linea Palm Springs,Alta Verde Group,,ACTIVE PROJECT,CA,Riverside,Palm Springs,92264,,Detached,4453,4869,(760) 297-2233,https://goo.gl/KCQXyw,21780,,,0.3,0,-0.2,0.3,,7/18/2018,11/15/2016,14,6,8,7/18/2018,2700000,2790000,33.775867,-116.53339,,340,,1.25%,,,6065,207192,Residence L Alt,4,4.5,1,3,4453,2750000
